CO,NO2,O3,PM10,PM2.5,SO2,label
0.36,12.0,28.0,39.0,19.0,1.7,0
0.25,7.5,33.0,32.0,13.0,1.6,0
0.22,7.1,33.0,27.0,11.0,1.3,0
0.22,5.9,37.0,26.0,13.0,1.6,0
0.28,7.1,35.0,29.0,15.0,2.5,0
0.34,11.0,30.0,34.0,15.0,1.9,0
0.47,22.0,19.0,39.0,21.0,2.0,0
0.86,29.0,14.0,45.0,23.0,2.3,0
0.88,29.0,15.0,55.0,22.0,2.7,1
0.57,22.0,24.0,70.0,20.0,2.5,1
0.44,16.0,32.0,68.0,21.0,2.2,1
0.39,12.0,36.0,57.0,20.0,2.0,1
0.41,11.0,37.0,50.0,20.0,1.9,0
0.45,14.0,36.0,49.0,23.0,2.2,0
0.48,17.0,35.0,55.0,26.0,2.3,1
0.51,19.0,32.0,60.0,26.0,2.3,1
0.56,22.0,28.0,60.0,29.0,2.4,1
0.65,25.0,24.0,57.0,30.0,2.0,1
0.86,31.0,16.0,55.0,26.0,2.1,1
0.84,31.0,15.0,54.0,25.0,2.2,1
0.75,29.0,17.0,48.0,21.0,1.8,0
0.75,29.0,15.0,45.0,20.0,2.3,0
0.62,24.0,20.0,40.0,20.0,2.9,0
0.52,22.0,21.0,33.0,15.0,2.4,0
0.46,17.0,25.0,29.0,15.0,1.1,0
0.35,12.0,29.0,27.0,15.0,0.9,0
0.29,11.0,30.0,26.0,13.0,1.0,0
0.22,7.2,34.0,23.0,9.0,0.9,0
0.21,8.3,32.0,21.0,7.0,1.3,0
0.25,12.0,28.0,22.0,9.0,1.1,0
0.31,18.0,21.0,26.0,11.0,1.1,0
0.48,22.0,18.0,24.0,9.0,1.1,0
0.46,21.0,22.0,32.0,7.0,1.4,0
0.44,19.0,25.0,42.0,10.0,1.7,0
0.44,20.0,26.0,42.0,13.0,1.5,0
0.42,18.0,29.0,38.0,16.0,1.9,0
0.42,14.0,34.0,39.0,15.0,2.5,0
0.39,15.0,35.0,43.0,15.0,2.6,0
0.4,15.0,35.0,43.0,15.0,2.4,0
0.45,18.0,32.0,43.0,18.0,2.7,0
0.43,18.0,35.0,43.0,24.0,3.3,0
0.57,22.0,30.0,48.0,23.0,3.5,0
0.79,30.0,21.0,46.0,21.0,3.2,0
0.63,26.0,24.0,45.0,23.0,3.1,0
0.66,25.0,25.0,46.0,24.0,3.0,0
0.69,26.0,26.0,51.0,27.0,3.2,1
0.72,25.0,28.0,54.0,30.0,3.2,1
0.54,16.0,38.0,56.0,31.0,2.9,1
0.43,9.6,45.0,62.0,31.0,3.3,1
0.41,8.1,49.0,62.0,31.0,3.5,1
0.36,6.4,51.0,57.0,37.0,3.5,1
0.34,5.9,50.0,57.0,37.0,3.5,1
0.32,4.8,51.0,57.0,31.0,3.3,1
